Credner, Karl August		: Johannisplatz (20)	: (1858) ebd., verloren vor 1934
Creuzer, Georg Friedrich	http://de.wikipedia.org/wiki/Creuzer	: Schloßgasse (17)	: (1858) Unterm Markt 4, verloren 1973
Czapski, Siegfried	http://de.wikipedia.org/wiki/Czapski	: Forstweg (23)	: (1929) Prof.-IbrahimStr. 23, verloren; E
Czermak, Johann(es) Nepomuk	http://de.wikipedia.org/wiki/Johann_Nepomuk_Czermak	: Teichgraben, Fürstengraben	: (1934) Teichgraben 8 (Physiologisches Institut), Gebäude 1945 zerstört
Danovius, Ernst Jakob		: Leutragasse (5)	: (1858) ebd., Gebäude 1945 zerstört; E
Danz, Johann Andreas		: Löbdergasse (6)	: (1858) Löbderstr. 20/21, neue Anbringung: (vor 1928) Rathausgasse 1, Gebäude 1945 zerstört
Danz, Johann Traugott Leberecht		: Jenergasse (15), Johannisgasse (14); 	: 1. (1858) Jenergasse 15, verloren; 2. (1889) Johannisstr. 14
Darjes, Joachim Georg		: Kollegiengasse (22), Camsdorfer Freigut (Eigentümer)	: 1. (1858) Kollegiengasse 22, verloren vor 1934; 2. (nach 1991) Camsdorfer Ufer 1
Delbrück, Berthold		: Fürstengraben (6), Marienstr. (10)	: (1929) Marienstr. 12, verloren; E
Delbrück, Clemens von	http://de.wikipedia.org/wiki/Clemens_von_Delbr%C3%BCck	: Westendstr. (24), Landgrafenstieg 1	: (nach 1934) Landgrafenstieg 1
Delitzsch, Friedrich	http://de.wikipedia.org/wiki/Friedrich_Delitzsch	: Jenergasse 14	: (vor 1928) ebd.
Demelius, Friedrich Wilhelm		: u. a. am Johannistor	: (vor 1928) Ballhausgasse 6
Demelius, Gustav		: Johannisgasse (5)	: (vor 1928) ebd., Gebäude 1945 zerstört
Devrient, Otto	http://de.wikipedia.org/wiki/Otto_Devrient	: Erfurter Str.	: (vor 1934) August-Bebel-Str. 22
De Wette, Wilhelm Martin Leberecht	http://de.wikipedia.org/wiki/De_Wette	: Unterm Markt/Oberlauengasse	: 1. (1858) ebd., Gebäude um 1900 abgerissen; 2. (1929) Oberlauengasse 2, verloren nach 1945, erneuert 1990
Dexel, Walter	http://de.wikipedia.org/wiki/Walter_Dexel	: Fuchsturmweg 15	: (nach 1991) ebd.
Diederichs, Eugen	http://de.wikipedia.org/wiki/Eugen_Diederichs	: Sedanstr. 8, Beethovenstr. 30, Jenergasse 6 (Comptoir), Carl-Zeiß-Platz	: (nach 1991) Carl-Zeiß-Platz 4
Dilherr, Johann Michael	http://de.wikipedia.org/wiki/Dilherr	: unbekannt	: (nach 1991) Coll. Jen.
Dingelstedt, Franz Frhr. von	http://de.wikipedia.org/wiki/Franz_von_Dingelstedt	: unbekannt	: (vor 1928) Jenergasse 14
Dinger, Hugo		: Am Landgrafen (2)	: (nach 1941) Landgrafenstieg 3
Dobenecker, Otto		: Weimar-Geraer-Bahnhofstr. (9)	: (nach 1934) Westbahnhofstr. 9
Döbereiner, Johann Wolfgang	http://de.wikipedia.org/wiki/Johann_Wolfgang_D%C3%B6bereiner	: Schloß, Neugasse (23)	: (1858) Neugasse 23, erneuert 1989
Döderlein, Gustav Albert Max		: Bachstr. 18	: (1968) ebd. (Frauenklinik)
Döderlein, Johann Christoph	http://de.wikipedia.org/wiki/Johann_Christoph_D%C3%B6derlein	: Markt (17), Leutragasse (5)	: (1858) Leutrastr. 5, Gebäude 1945 zerstört; E
Drese, Adam	http://de.wikipedia.org/wiki/Adam_Drese	: Saumarkt	: (1990) Unterm Markt 12a
Drews, Paul Gottfried		: Lutherstr. (33)	: (1929) ebd., verloren vor 1934
Droysen, Johann Gustav	http://de.wikipedia.org/wiki/Johann_Gustav_Droysen	: Markt, H. d. Rathaus	: 1. (1929) Kl. Rathausgasse 3; 2. (1929) Postgasse 6, beide Gebäude 1945 zerstört; E
